Rows	1	2	3	4
VT19841.2_GT	1	0	0	0
VT19841.2	0.454915	5.70269e-06	0.27997	0.00118613
VT19895.1_GT	1	0	0	0
VT19895.1	0.478729	0.0634641	0.424669	0.146333
VT20804.1_GT	1	0	0	0
VT20804.1	0.663211	0.00617848	0.607439	0.0323288
VT20956.1_GT	1	0	0	0
VT20956.1	0.425142	1.26097e-10	0.140624	2.20762e-05
VT21791.1_GT	1	0	0	0
VT21791.1	0.582068	1.25512e-05	0.47091	0.000294333
VT21791.2_GT	1	0	0	0
VT21791.2	0.49299	0.000809496	0.389624	0.0183268
VT22019.1_GT	1	0	0	0
VT22019.1	0.692628	0.0324532	0.676353	0.164686
VT24021.1_GT	1	0	0	0
VT24021.1	0.591277	1.15357e-06	0.238534	0.000406988
VT24047.1_GT	1	0	0	0
VT24047.1	0.564162	8.84728e-09	0.243578	2.15934e-05
VT26702.1_GT	1	0	0	0
VT26702.1	0.550773	0.0489329	0.649816	0.339015
VT28544.1_GT	1	0	0	0
VT28544.1	0.521053	0.000132409	0.150506	0.00356658
VT29052.1_GT	1	0	0	0
VT29052.1	0.470367	1.09365e-12	0.032977	1.31793e-05
VT29757.1_GT	1	0	0	0
VT29757.1	0.406531	4.54551e-07	0.235576	0.000343684
VT29757.2_GT	1	0	0	0
VT29757.2	0.57638	0.0700068	0.423036	0.123799
VT30548.1_GT	1	0	0	0
VT30548.1	0.564085	0.0204107	0.270189	0.148637
VT30548.2_GT	1	0	0	0
VT30548.2	0.482099	1.88538e-06	0.146069	0.00195122
VT31552.1_GT	1	0	0	0
VT31552.1	0.469882	3.05871e-11	0.0470293	9.05969e-07
VT32275.1_GT	1	0	0	0
VT32275.1	0.608936	0.000852749	0.390874	0.00131714
VT32275.2_GT	1	0	0	0
VT32275.2	0.441256	2.96049e-06	0.102301	0.00168452
VT33002.1_GT	1	0	0	0
VT33002.1	0.458788	0.000768532	0.243385	0.136153
VT33002.2_GT	1	0	0	0
VT33002.2	0.48332	0.00122348	0.272732	0.0131994
VT33002.3_GT	1	0	0	0
VT33002.3	0.497497	0.00708351	0.260481	0.0905008
VT36575.1_GT	1	0	0	0
VT36575.1	0.458408	5.97616e-07	0.548005	0.000210147
VT36575.2_GT	1	0	0	0
VT36575.2	0.458769	0.000617179	0.325313	0.0099579
VT37508.1_GT	1	0	0	0
VT37508.1	0.594173	4.46702e-08	0.144801	7.25051e-05
VT37540.1_GT	1	0	0	0
VT37540.1	0.44977	0.00120928	0.257743	0.161456
VT37540.2_GT	1	0	0	0
VT37540.2	0.468224	2.58452e-10	0.24727	7.73636e-06
VT37560.1_GT	1	0	0	0
VT37560.1	0.555084	0.00176245	0.306532	0.0147392
VT37560.2_GT	1	0	0	0
VT37560.2	0.429128	8.1627e-05	0.222695	0.00415566
VT39513.1_GT	1	0	0	0
VT39513.1	0.470596	0.295857	0.393801	0.368405
VT39513.2_GT	1	0	0	0
VT39513.2	0.468626	0.0804566	0.427168	0.181955
VT39513.3_GT	1	0	0	0
VT39513.3	0.457161	0.000514061	0.247693	0.00702203
VT40612.1_GT	1	0	0	0
VT40612.1	0.423028	8.02203e-16	0.019429	3.14732e-08
VT41032.1_GT	1	0	0	0
VT41032.1	0.514828	0.0204976	0.456351	0.0426455
VT41281.1_GT	1	0	0	0
VT41281.1	0.510559	5.85019e-05	0.298874	0.0184794
VT41281.2_GT	1	0	0	0
VT41281.2	0.463066	0.058938	0.372651	0.109404
VT41298.1_GT	1	0	0	0
VT41298.1	0.403237	0.00192926	0.35813	0.0797792
VT41710.1_GT	1	0	0	0
VT41710.1	0.512356	7.73087e-06	0.17735	0.0098047
VT42167.1_GT	1	0	0	0
VT42167.1	0.462288	0.000117878	0.241952	0.0105827
VT42167.2_GT	1	0	0	0
VT42167.2	0.435172	0.040862	0.314673	0.237338
VT42568.1_GT	1	0	0	0
VT42568.1	0.470266	9.92015e-05	0.635748	0.0309313
VT42568.2_GT	1	0	0	0
VT42568.2	0.48068	0.00804113	0.561259	0.0749376
VT43688.1_GT	1	0	0	0
VT43688.1	0.473851	0.015698	0.38979	0.014401
VT44117.1_GT	1	0	0	0
VT44117.1	0.583697	3.22585e-10	0.075984	0.000141502
VT44117.2_GT	1	0	0	0
VT44117.2	0.465464	0.0110443	0.415416	0.19878
VT44369.1_GT	1	0	0	0
VT44369.1	0.466657	0.134446	0.406317	0.187194
VT44369.2_GT	1	0	0	0
VT44369.2	0.456087	0.0232476	0.354789	0.0850523
VT45197.1_GT	1	0	0	0
VT45197.1	0.495674	0.000138471	0.393326	0.00225627
VT45197.2_GT	1	0	0	0
VT45197.2	0.458091	0.0245949	0.387852	0.194482
VT45608.1_GT	1	0	0	0
VT45608.1	0.441277	2.00891e-11	0.0262134	1.4303e-06
VT47167.1_GT	1	0	0	0
VT47167.1	0.529456	1.45004e-10	0.217646	6.1797e-06
VT47172.1_GT	1	0	0	0
VT47172.1	0.441391	1.72658e-10	0.129876	1.64259e-07
VT47173.1_GT	1	0	0	0
VT47173.1	0.463495	8.80382e-12	0.0976803	2.33485e-06
VT47324.1_GT	1	0	0	0
VT47324.1	0.484168	0.0669133	0.340303	0.156106
VT47324.2_GT	1	0	0	0
VT47324.2	0.463026	0.0509395	0.327934	0.0306047
VT47325.1_GT	1	0	0	0
VT47325.1	0.462693	0.0226707	0.306074	0.0247183
VT47325.2_GT	1	0	0	0
VT47325.2	0.45248	0.0471101	0.4753	0.204253
VT50105.1_GT	1	0	0	0
VT50105.1	0.475597	0.00336959	0.279166	0.00440764
VT50378.1_GT	1	0	0	0
VT50378.1	0.469379	0.0688922	0.420452	0.21442
VT50378.2_GT	1	0	0	0
VT50378.2	0.502707	0.00079807	0.766684	0.0321403
VT54844.1_GT	1	0	0	0
VT54844.1	0.457828	0.037254	0.358539	0.168061
VT54844.2_GT	1	0	0	0
VT54844.2	0.431005	0.013852	0.318444	0.0208572
VT54844.3_GT	1	0	0	0
VT54844.3	0.464863	0.0152467	0.315189	0.144948
VT54845.1_GT	1	0	0	0
VT54845.1	0.516023	0.000571805	0.328116	0.0366656
VT54845.2_GT	1	0	0	0
VT54845.2	0.400175	0.0947797	0.339849	0.138211
VT56651.1_GT	1	0	0	0
VT56651.1	0.474859	0.108355	0.419277	0.206818
VT56651.2_GT	1	0	0	0
VT56651.2	0.446337	0.0119957	0.415613	0.102956
VT57358.1_GT	1	0	0	0
VT57358.1	0.463171	0.0100115	0.606983	0.103515
VT57358.2_GT	1	0	0	0
VT57358.2	0.484138	0.00256205	0.389025	0.060586
VT58911.1_GT	1	0	0	0
VT58911.1	0.503738	2.38125e-06	0.0786398	0.00224219
VT59447.1_GT	1	0	0	0
VT59447.1	0.503183	0.00251108	0.241673	0.0558076
VT59696.1_GT	1	0	0	0
VT59696.1	0.477077	0.052104	0.30486	0.0810989
VT62473.1_GT	1	0	0	0
VT62473.1	0.473649	0.0334409	0.410576	0.285833
VT62633.1_GT	1	0	0	0
VT62633.1	0.437253	8.6283e-06	0.222483	0.000912725
VT63713.1_GT	1	0	0	0
VT63713.1	0.406295	3.89807e-08	0.1966	0.000167201
VT64496.1_GT	1	0	0	0
VT64496.1	0.715267	4.8071e-10	0.164687	1.07213e-06
VT40419.1_GT	1	0	0	0
VT40419.1	0.466297	0.189541	0.379754	0.315542
VT40419.2_GT	1	0	0	0
VT40419.2	0.475201	0.113657	0.397026	0.17703
VT40419.3_GT	1	0	0	0
VT40419.3	0.473326	0.000120353	0.323541	0.016575
VT42327.1_GT	1	0	0	0
VT42327.1	0.459923	0.000353417	0.342144	0.00581684
VT64886.1_GT	1	0	0	0
VT64886.1	0.453667	0.00099514	0.248589	0.0411611
VT64886.2_GT	1	0	0	0
VT64886.2	0.468991	0.000997178	0.272119	0.01949
VT8286.1_GT	1	0	0	0
VT8286.1	0.444266	1.61087e-14	0.0416266	1.55553e-06
VT14561.1_GT	1	0	0	0
VT14561.1	0.414197	7.2806e-13	0.00844037	2.32693e-05
VT19021.1_GT	1	0	0	0
VT19021.1	0.920026	2.14721e-12	0.0921019	1.11616e-05
VT19075.1_GT	1	0	0	0
VT19075.1	0.40193	5.65242e-16	0.0631185	4.25271e-05
VT24614.1_GT	1	0	0	0
VT24614.1	0.394148	7.92978e-13	0.0226127	5.76635e-07
VT25019.1_GT	1	0	0	0
VT25019.1	0.480209	1.78012e-13	0.0150301	1.24836e-05
VT26012.1_GT	1	0	0	0
VT26012.1	0.44283	3.81529e-12	0.0302911	9.5259e-06
VT26016.1_GT	1	0	0	0
VT26016.1	0.528508	3.95893e-12	0.0114011	0.000221502
VT26019.1_GT	1	0	0	0
VT26019.1	0.590421	8.27368e-14	0.0935603	6.54795e-05
